Aarão Paranhos
Abel Monforte
Abel Taveira
Abraão Aldea
Abílio Ipanema
Adelaide Athayde
Adelino Acevedo
Adosindo Galván
Adélia Anjos
Adélia Assis
Adélia Francia
Adélio Lira
Adélio Pestana
Adérito Baía
Adérito Gorjão
Afonso Esparteiro
Agostinho Brito
Aires Granjeia
Alarico Moreyra
Alberta Eanes
Alberta Macedo
Alberto Figueiroa
Alberto Puerto
Alceste Lousada
Alcides Quintela
Alda Hierro
Aldo Garrido
Aldonça Coello
Aldonça Guilheiro
Alexandra Rodovalho
Alexandre Balsemão
Alexandre Lamego
Alfredo Azambuja
Alfredo Tristão
Alicia Borba
Almor Soares
Alvito Fróis
Alzira Águeda
Alípio Filipe
Alípio Salvado
Amandio Jorge
Amélia Avelar
Amélia Matoso
Amélia Piragibe
Américo Silvera
Anabela Cantanhede
Anabela Dornelles
Anacleto Rico
Andreia Vasconcellos
André Alancastre
Angelina Valiente
Angelino Jesus
Angelino Pari
Angélica Lucena
Anhangüera Curado
Aniana Reis
Anind Marinho
Anind Patrício
Anna Noronha
Antero Nascimento
Antonieta Souza
Antão Sobreira
Antónia Cabral
Antônia Castella
Aníbal Vilarinho
Apuã Marreiro
Apuã Rebocho
Apuã Vasques
Arachane Alcantara
Arachane Azevedo
Araribóia Coitinho
Araribóia Cuaresma
Armanda Pirassununga
Armando Pedrozo
Arminda Benevides
Armindo Corrêa
Artur Capanema
Artur Guedez
Asi Higuera
Asi Jácome
Astolfo Cerveira
Astolfo Núñez
Augusta Aguiar
Augusto Gaspar
Aurélia César
Aurélio Espartero
Balduíno Pena
Baltasar Ferrera
Barnabé Bento
Barnabé Novaes
Bartira Noguera
Beatriz Assumpção
Beatriz Sacadura
Beatriz Sarabia
Beatriz Siqueira
Belmifer Estrela
Belmira Quintana
Benedita Camelo
Benedita Dias
Bento Canela
Bento Rivero
Berengária Vilela
Bernardete Mata
Bernardina Caldas
Bernardino Barrios
Bernardo Amorín
Bernardo Moita
Bernardo Moutinho
Bernardo Robalo
Blasco Girã
Blasco Murtinho
Blasco Terra
Boaventura Linares
Boaventura Valim
Branca Cruz
Branca Valerio
Brites Canhão
Brites Ramallo
Bruna Mesquita
Brás Palha
Bukake Cotegipe
Bukake Sant'Anna
Burtira Pimentel
Caetana Clementino
Caetana Mayor
Caetana Mota
Caetano Avelar
Caio Acevedo
Caio Mattozo
Caio Paredes
Camila Tabosa
Camilo Graça
Camilo Moreno
Camilo Saltão
Capitolina Caires
Capitolina Cipriano
Capitolina Higuera
Capitolina Infante
Capitolina Larangeira
Capitolina Montenegro
Carmem Rico
Carolina Chagas
Carolina Verguero
Casimiro Borges
Casimiro Lobo
Caubi Roriz
Cauã Carvalhais
Cauê Café
Cecília Almeyda
Celestina Azevedo
Celina Froes
Celina Furquim
Celso Abranches
Celso Fragoso
Cesário Roriz
Cid Feijó
Cid Fogaça
Cid Meneses
